contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,optionType,expirationDate,spotPrice,fetchTime,midPrice,spread,spreadPct,marketPrice,daysToExpiry,timeToExpiry,moneyness,isITM,riskFreeRate
SPY260316C00669000,2026-03-10 20:07:38+00:00,669.0,13.6,13.64,14.02,-0.8999996,-6.206894,39.0,564,0.2518995709228515,True,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,13.83,0.379999999999999,0.02747650036153283,13.83,5,0.0136986301369863,0.9879205044976902,True,0.05
SPY260316C00670000,2026-03-10 20:07:16+00:00,670.0,12.95,12.91,13.26,-0.19000053,-1.4459705,425.0,2236,0.2479933599853515,True,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,13.085,0.34999999999999964,0.026748184944593016,13.085,5,0.0136986301369863,0.9893972167615134,True,0.05
SPY260316C00671000,2026-03-10 19:52:28+00:00,671.0,11.69,12.26,12.41,-1.4500008,-11.035013,134.0,671,0.241218525390625,True,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,12.335,0.15000000000000036,0.012160518848804244,12.335,5,0.0136986301369863,0.9908739290253366,True,0.05
SPY260316C00672000,2026-03-10 20:09:57+00:00,672.0,11.36,11.54,11.69,-0.69000053,-5.7261453,200.0,505,0.237739556274414,True,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,11.614999999999998,0.15000000000000036,0.012914334911752078,11.614999999999998,5,0.0136986301369863,0.9923506412891597,True,0.05
SPY260316C00673000,2026-03-10 20:00:49+00:00,673.0,10.49,10.82,10.97,-0.8600006,-7.5770974,190.0,520,0.233833345336914,True,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,10.895,0.15000000000000036,0.013767783386874746,10.895,5,0.0136986301369863,0.9938273535529829,True,0.05
SPY260316C00674000,2026-03-10 19:34:02+00:00,674.0,9.62,10.12,10.27,-0.8299999,-7.942583,324.0,636,0.2300492034912109,True,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,10.195,0.15000000000000036,0.01471309465424231,10.195,5,0.0136986301369863,0.995304065816806,True,0.05
SPY260316C00675000,2026-03-10 20:14:39+00:00,675.0,9.55,9.44,9.58,-0.92999935,-8.874041,1294.0,1564,0.2260819580078125,True,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,9.51,0.14000000000000057,0.014721345951629923,9.51,5,0.0136986301369863,0.9967807780806291,True,0.05
SPY260316C00676000,2026-03-10 20:03:25+00:00,676.0,8.38,8.77,8.92,-1.4799995,-15.010138,1067.0,1799,0.2224809197998046,True,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,8.844999999999999,0.15000000000000036,0.016958733747880202,8.844999999999999,5,0.0136986301369863,0.9982574903444523,True,0.05
SPY260316C00677000,2026-03-10 20:13:41+00:00,677.0,8.19,8.17,8.23,-0.3800001,-4.434074,1923.0,667,0.2175981561279296,True,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,8.2,0.0600000000000005,0.0073170731707317685,8.2,5,0.0136986301369863,0.9997342026082755,True,0.05
SPY260316C00678000,2026-03-10 20:12:32+00:00,678.0,7.41,7.54,7.59,-0.7399998,-9.079752,1773.0,990,0.2135088415527344,False,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,7.5649999999999995,0.04999999999999982,0.00660938532716455,7.5649999999999995,5,0.0136986301369863,1.0012109148720987,False,0.05
